##Temp./oC	Time/min	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(protective)/(ml/min)
359,06411	33,93822	82,35733	20	20
359,57171	33,98872	82,27227	20	20
360,08419	34,03922	82,19458	20	20
360,57936	34,08973	82,11892	20	20
361,08724	34,14023	82,0485	20	20
361,59189	34,19073	81,98314	20	20
362,08945	34,24124	81,91613	20	20
362,58327	34,29174	81,85553	20	20
363,10077	34,34224	81,78165	20	20
363,60183	34,39275	81,70593	20	20
364,1042	34,44325	81,63174	20	20
364,60654	34,49375	81,5581	20	20
365,11526	34,54426	81,48028	20	20
365,61729	34,59476	81,40977	20	20
366,12988	34,64526	81,34046	20	20
366,63084	34,69577	81,26592	20	20
367,12648	34,74627	81,19052	20	20
367,63755	34,79677	81,12112	20	20
368,12326	34,84728	81,04693	20	20
368,6365	34,89778	80,97885	20	20
369,14583	34,94828	80,91277	20	20
369,6336	34,99879	80,84109	20	20
370,15703	35,04929	80,76696	20	20
370,65595	35,09979	80,69143	20	20
371,18196	35,1503	80,61455	20	20
371,67422	35,2008	80,54372	20	20
372,18628	35,2513	80,46989	20	20
372,68746	35,30181	80,39834	20	20
373,19395	35,35231	80,33991	20	20
373,70245	35,40281	80,27541	20	20
374,21512	35,45332	80,21247	20	20
374,71926	35,50382	80,14823	20	20
375,23224	35,55432	80,0655	20	20
375,73298	35,60483	79,99065	20	20
376,2367	35,65533	79,91123	20	20
376,74641	35,70583	79,83674	20	20
377,2476	35,75634	79,76103	20	20
377,77172	35,80684	79,69271	20	20
378,26934	35,85734	79,6188	20	20
378,77055	35,90785	79,54271	20	20
379,27709	35,95835	79,47416	20	20
379,79296	36,00885	79,40034	20	20
380,28772	36,05936	79,3305	20	20
380,79453	36,10986	79,25572	20	20
381,29572	36,16036	79,18293	20	20
381,7958	36,21087	79,11588	20	20
382,32242	36,26137	79,03669	20	20
382,82499	36,31187	78,96526	20	20
383,33391	36,36238	78,89636	20	20
383,84498	36,41288	78,82709	20	20
384,34532	36,46338	78,75494	20	20
