#EXPORTTYPE:                 ;DATA ALL                   
#FILE:                       ;MoS2 NS - Sõdio.ngb-ds3    
#FORMAT:                     ;NETZSCH5                   
#FTYPE:                      ;ASCII                      
#IDENTITY:                   ;MoS2 NS - Sõdio            
#DECIMAL:                    ;COMMA                      
#SEPARATOR:                  ;SEMICOLON                  
#MTYPE:                      ;TG                         
#INSTRUMENT:                 ;NETZSCH STA 449F3          
#PROJECT:                    ;-                          
#DATE/TIME:                  ;21/11/2024 13:23:36 (UTC-3)
#CORR. FILE:                 ;Correction.ngb-bs3         
#TEMPCAL:                    ;Cal_08_2024_Ar_5C.ngb-ts3  
#SENSITIVITY:                ;---                        
#LABORATORY:                 ;Proc de Nanocerümicas      
#OPERATOR:                   ;Danilo Janes               
#REMARK:                     ;                           
#SAMPLE:                     ;MoS2 NS - Sõdio            
#SAMPLE MASS /mg:            ;12,6370                    
#MATERIAL:                   ;                           
#REFERENCE:                  ;                           
#REFERENCE MASS /mg:         ;                           
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3      
#SAMPLE CRUCIBLE MASS /mg:   ;0                          
#REFERENCE CRUCIBLE MASS /mg:;                           
#TG RANGE /mg:               ;35000                      
#TAU-R:                      ;---                        
#CORR. CODE:                 ;020                        
#EXO:                        ;-1                         
#RANGE:                      ;20oC/10,0(K/min)/1000oC    
#SEGMENT:                    ;S1/1                       
#SEG. 1:                     ;20oC/10,0(K/min)/1000oC    

##Temp./oC;Time/min;Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(protective)/(ml/min)
499,80900;48,04604; 69,12973;20,00000;20,00000
501,80900;48,24745; 69,18359;20,00000;20,00000
503,80900;48,44658; 69,23340;20,00000;20,00000
505,80900;48,64283; 69,27085;20,00000;20,00000
507,80900;48,83729; 69,27752;20,00000;20,00000
509,80900;49,03095; 69,28466;20,00000;20,00000
511,80900;49,22397; 69,29435;20,00000;20,00000
513,80900;49,41785; 69,30420;20,00000;20,00000
515,80900;49,61198; 69,30838;20,00000;20,00000
517,80900;49,80771; 69,30759;20,00000;20,00000
519,80900;50,00490; 69,30759;20,00000;20,00000
521,80900;50,20389; 69,31622;20,00000;20,00000
523,80900;50,40340; 69,32129;20,00000;20,00000
525,80900;50,60403; 69,32665;20,00000;20,00000
527,80900;50,80521; 69,33054;20,00000;20,00000
529,80900;51,00637; 69,33501;20,00000;20,00000
531,80900;51,20804; 69,33760;20,00000;20,00000
533,80900;51,40915; 69,33217;20,00000;20,00000
535,80900;51,60974; 69,33842;20,00000;20,00000
537,80900;51,80987; 69,35349;20,00000;20,00000
539,80900;52,00962; 69,36135;20,00000;20,00000
541,80900;52,20931; 69,37168;20,00000;20,00000
543,80900;52,40855; 69,37321;20,00000;20,00000
545,80900;52,60780; 69,37629;20,00000;20,00000
547,80900;52,80660; 69,37722;20,00000;20,00000
549,80900;53,00576; 69,37881;20,00000;20,00000
551,80900;53,20517; 69,38040;20,00000;20,00000
553,80900;53,40461; 69,38154;20,00000;20,00000
555,80900;53,60427; 69,38355;20,00000;20,00000
557,80900;53,80361; 69,38620;20,00000;20,00000
559,80900;54,00450; 69,38757;20,00000;20,00000
561,80900;54,20503; 69,38197;20,00000;20,00000
563,80900;54,40610; 69,38272;20,00000;20,00000
565,80900;54,60705; 69,38199;20,00000;20,00000
567,80900;54,80852; 69,38192;20,00000;20,00000
569,80900;55,00913; 69,38197;20,00000;20,00000
571,80900;55,20936; 69,38117;20,00000;20,00000
573,80900;55,40848; 69,37961;20,00000;20,00000
575,80900;55,60828; 69,37881;20,00000;20,00000
577,80900;55,80782; 69,39144;20,00000;20,00000
579,80900;56,00720; 69,39463;20,00000;20,00000
581,80900;56,20596; 69,39384;20,00000;20,00000
